Rodadas;Time Casa;Time Fora;Resultado Casa;Resultado Fora
1;Fluminense;Santos;E;E
1;Atlético Goianiense;Flamengo;E;E
1;Palmeiras;Ceará;D;V
1;Coritiba;Goiás;V;D
1;Atlético Mineiro;Internacional;V;D
1;Botafogo;Corinthians;D;V
1;Fortaleza;Cuiabá;D;V
1;São Paulo;Athletico Paranaense;V;D
1;Avaí;América Mineiro;V;D
1;Juventude;Red Bull Bragantino;E;E
2;Goiás;Palmeiras;E;E
2;América Mineiro;Juventude;V;D
2;Corinthians;Avaí;V;D
2;Cuiabá;Fluminense;D;V
2;Santos;Coritiba;V;D
2;Flamengo;São Paulo;V;D
2;Red Bull Bragantino;Atlético Goianiense;V;D
2;Athletico Paranaense;Atlético Mineiro;D;V
2;Internacional;Fortaleza;V;D
2;Ceará;Botafogo;D;V
4;Flamengo;Palmeiras;E;E
3;Red Bull Bragantino;São Paulo;E;E
3;Athletico Paranaense;Flamengo;V;D
3;Fluminense;Internacional;D;V
3;Palmeiras;Corinthians;V;D
3;Atlético Mineiro;Coritiba;E;E
3;Atlético Goianiense;Botafogo;E;E
3;Santos;América Mineiro;V;D
3;Juventude;Cuiabá;D;V
3;Avaí;Goiás;V;D
4;Ceará;Red Bull Bragantino;D;V
4;América Mineiro;Athletico Paranaense;V;D
4;Goiás;Atlético Mineiro;E;E
4;Cuiabá;Atlético Goianiense;E;E
4;Botafogo;Juventude;E;E
4;Coritiba;Fluminense;V;D
4;Corinthians;Fortaleza;V;D
4;Internacional;Avaí;E;E
4;São Paulo;Santos;V;D
5;Atlético Mineiro;América Mineiro;D;V
5;Athletico Paranaense;Ceará;V;D
5;Flamengo;Botafogo;D;V
5;Palmeiras;Fluminense;E;E
5;Atlético Goianiense;Goiás;D;V
5;Red Bull Bragantino;Corinthians;D;V
5;Santos;Cuiabá;V;D
5;Juventude;Internacional;E;E
5;Fortaleza;São Paulo;E;E
5;Avaí;Coritiba;V;D
7;Red Bull Bragantino;Atlético Mineiro;E;E
6;Ceará;Flamengo;E;E
6;Palmeiras;Red Bull Bragantino;V;D
6;Internacional;Corinthians;E;E
6;Atlético Mineiro;Atlético Goianiense;V;D
6;Fluminense;Athletico Paranaense;V;D
6;São Paulo;Cuiabá;V;D
6;Coritiba;América Mineiro;V;D
6;Avaí;Juventude;D;V
6;Botafogo;Fortaleza;V;D
6;Goiás;Santos;V;D
7;Flamengo;Goiás;V;D
7;Atlético Goianiense;Coritiba;V;D
7;Santos;Ceará;E;E
7;Juventude;Palmeiras;D;V
7;América Mineiro;Botafogo;E;E
7;Cuiabá;Internacional;E;E
7;Fortaleza;Fluminense;D;V
7;Corinthians;São Paulo;E;E
7;Athletico Paranaense;Avaí;V;D
8;Goiás;Red Bull Bragantino;E;E
8;São Paulo;Ceará;E;E
8;Fortaleza;Juventude;E;E
8;Coritiba;Botafogo;V;D
8;Santos;Palmeiras;D;V
8;Corinthians;América Mineiro;E;E
8;Cuiabá;Athletico Paranaense;D;V
8;Fluminense;Flamengo;D;V
8;Atlético Mineiro;Avaí;V;D
8;Internacional;Atlético Goianiense;E;E
3;Fortaleza;Ceará;D;V
9;América Mineiro;Cuiabá;V;D
9;Avaí;São Paulo;E;E
9;Ceará;Coritiba;E;E
9;Athletico Paranaense;Santos;E;E
9;Atlético Goianiense;Corinthians;D;V
